10140 20:55:26 WARN  A duplicate setting "ContentSearch.SearchMaxResults" has been detected in the Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.config file. The value of the setting will be changed to "500".
10140 20:55:27 WARN  The "MaxWorkerThreads" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "20"
10140 20:55:29 WARN  A duplicate setting "ContentSearch.DefaultIndexConfigurationPath" has been detected in the Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.config file. The value of the setting will be changed to "contentSearch/indexConfigurations/defaultSolrIndexConfiguration".
10140 20:55:29 WARN  The "Media.FileSystemWatcherBufferSize" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "8192"
10140 20:55:30 WARN  The "Rules.MaxCachedRules" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "819200"
10140 20:55:30 INFO  Heartbeat - Initializing
10140 20:55:30 INFO  Heartbeat - Interval set to: 00:00:02
10140 20:55:30 INFO  Heartbeat - Worker thread started
10140 20:55:30 WARN  The "Caching.DebugEnabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "False"
10140 20:55:30 INFO  Cache created: 'rules' (max size: 800KB, running total: 800KB)
10140 20:55:30 INFO  Cache created: '[FieldReaderCache]' (max size: 5MB, running total: 5MB)
10140 20:55:32 INFO  Cache created: 'DeviceItemsCache' (max size: 50MB, running total: 55MB)
10140 20:55:32 INFO  Cache created: 'core[data]' (max size: 100MB, running total: 155MB)
10140 20:55:32 INFO  Cache created: 'core[items]' (max size: 50MB, running total: 205MB)
10140 20:55:32 INFO  Cache created: 'core[paths]' (max size: 2MB, running total: 208MB)
10140 20:55:32 INFO  Cache created: 'core[standardValues]' (max size: 2MB, running total: 210MB)
10140 20:55:32 INFO  Cache created: 'core[itempaths]' (max size: 50MB, running total: 260MB)
10140 20:55:33 INFO  Cache created: 'core[blobIDs]' (max size: 500KB, running total: 261MB)
10140 20:55:33 WARN  The "EventQueue.Enabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "True"
10140 20:55:34 INFO  Cache created: 'master[data]' (max size: 100MB, running total: 361MB)
10140 20:55:34 INFO  Cache created: 'master[items]' (max size: 50MB, running total: 411MB)
10140 20:55:34 INFO  Cache created: 'master[paths]' (max size: 2MB, running total: 413MB)
10140 20:55:34 INFO  Cache created: 'master[standardValues]' (max size: 2MB, running total: 416MB)
10140 20:55:34 INFO  Cache created: 'master[itempaths]' (max size: 50MB, running total: 466MB)
10140 20:55:34 INFO  Cache created: 'master[blobIDs]' (max size: 500KB, running total: 466MB)
10140 20:55:34 INFO  Cache created: 'web[data]' (max size: 100MB, running total: 566MB)
10140 20:55:34 INFO  Cache created: 'web[items]' (max size: 50MB, running total: 616MB)
10140 20:55:34 INFO  Cache created: 'web[paths]' (max size: 2MB, running total: 618MB)
10140 20:55:34 INFO  Cache created: 'web[standardValues]' (max size: 2MB, running total: 621MB)
10140 20:55:34 INFO  Cache created: 'web[itempaths]' (max size: 50MB, running total: 671MB)
10140 20:55:34 INFO  Cache created: 'web[blobIDs]' (max size: 500KB, running total: 671MB)
Heartbeat 20:55:36 INFO  Cache created: 'filesystem[data]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:55:36 INFO  Cache created: 'filesystem[items]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:55:36 INFO  Cache created: 'filesystem[paths]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:55:36 INFO  Cache created: 'filesystem[standardValues]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:55:36 INFO  Cache created: 'filesystem[itempaths]' (max size: 50MB, running total: 721MB)
Heartbeat 20:55:36 INFO  Cache created: 'filesystem[blobIDs]' (max size: 500KB, running total: 722MB)
Heartbeat 20:55:37 INFO  Cache created: 'SqlDataProvider - Property data(core)' (max size: 500KB, running total: 722MB)
Heartbeat 20:55:38 INFO  Cache created: 'SqlDataProvider - Property data(master)' (max size: 500KB, running total: 723MB)
Heartbeat 20:55:39 INFO  Cache created: 'SqlDataProvider - Property data(web)' (max size: 500KB, running total: 723MB)
10140 20:55:44 INFO  HttpModule is being initialized
10140 20:55:44 WARN  The "Pipelines.Profiling.Enabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "False"
10140 20:55:44 INFO  
10140 20:55:44 INFO  **********************************************************************
10140 20:55:44 INFO  **********************************************************************
10140 20:55:44 INFO  Sitecore started
10140 20:55:44 INFO  Sitecore.NET 8.0 (rev. 150621)
10140 20:55:44 INFO  
